Partner1,Partner2
145,1366
146,4083
148,5949
152,2351
153,3997
156,3071
157,1091
158,1437
150,7105
159,4212
649,2818
155,7439
147,5920
149,3365
151,2731
154,896
160,5226
642,7783
698,6386
702,5737
798,2346
800,8743
1007,7524
1046,6395
3195,8367
3841,8856
4106,3804
4297,6535
4316,5773
4357,4811
4435,1751
7288,5719
7289,109
7290,5681
7295,7833
7298,6856
7299,8933
7300,8833
7301,368
7302,2300
7303,6514
7305,5155
7306,5278
7309,221
7311,5303
7312,512
7313,2219
7315,4542
7316,7731
7317,1593
7321,738
7327,4231
7331,1537
7337,5615
7338,3818
7344,673
7359,3929
7361,4614
7367,7226
7376,6046
7377,8713
7392,9626
7394,7513
7404,9892
7405,336
7423,1298
7427,2070
7431,755
7473,1703
7627,4849
7645,5842
7652,3243
7653,3672
7661,846
7704,1410
7725,9175
7731,3509
7733,1126
7741,8818
7745,1942
7753,7553
7754,2744
7755,8892
7756,8633
7759,948
7760,7500
7763,1377
7793,6456
7795,7054
7807,6108
7821,7336
7825,8052
7831,1645
7843,4205
7847,741
7858,4035
7863,9507
7901,6977
8182,5627
8183,8894
8320,6454
8327,1838
8572,6508
8608,4957
4257,962
7286,8028
7294,6794
7378,9732
7410,3905
7480,9087
7481,3343
7778,8229
8411,9010
697,3590
4077,6638
4078,6224
7287,7717
7291,6054
7292,3720
7293,7694
7296,638
7308,5170
7654,6261
7697,367
8409,8945
4082,2767
7297,6075
7304,5498
7307,3297
7310,2638
1052,6718
599,9965
661,1165
694,3817
989,1947
4090,9990
4281,6759
4314,7494
4468,1929
8502,877
8507,3408
8511,6125
8512,8822
8514,6703
8515,4928
8516,7076
8517,3623
8518,4553
8519,6271
8521,8785
8522,3062
8523,2319
8524,7752
8525,5908
8526,1816
8527,9580
8528,5157
8529,2083
8530,7615
8532,5667
8533,5716
8536,2207
8537,9827
8538,7003
8541,7153
8599,115
1358,8453
8520,8828
8534,6593
8535,6981
8539,3463
8540,4217
1357,494
4491,3045
4497,3425
8508,995
8531,5495
8504,4567
8505,4710
8506,3653
8509,578
8510,1249
8513,1173
8503,2285
513,6647
1047,4009
1428,8001
2903,7453
3201,8631
3690,8406
3918,7192
3923,3721
4010,3162
4065,3991
4108,1869
7497,9215
7498,9088
7499,3508
7500,7800
7501,7984
7502,1208
7503,1647
7504,3237
7507,1714
7508,9479
7509,7827
7510,6445
7511,2177
7512,1288
7513,2361
7515,1320
7517,887
7519,2234
7524,4888
7525,4888
7526,4015
7527,6384
7528,1779
7529,8561
7532,7584
7533,9668
7534,4752
7535,3521
7536,3703
7538,3865
7539,8737
7540,1123
7542,1557
7543,736
7545,9717
7546,1401
7547,4114
7550,9050
7552,9777
7553,9608
7554,7422
7555,3002
7556,9992
7559,6084
7560,8862
7561,6979
7562,4440
7564,182
7565,1674
